"","mem_point_","mem_point1","new_transe","new_tran_1","new_tran_2","new_tran_3","new_tran_4","new_tran_5","X","Y","elevation","elev_units","coords.x1","coords.x2","optional"
"1146",11,0.35,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.356015352,44.3571468857,1928.69,"meters",-118.356015352251,44.3571468857442,TRUE
"1147",11,0.36,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.354305353,44.3664179005,1661.57,"meters",-118.354305353036,44.3664179004993,TRUE
"1148",11,0.37,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.352594629,44.3756890484,1776.18,"meters",-118.352594628702,44.3756890483574,TRUE
"1149",11,0.38,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.350883179,44.3849603296,1546.62,"meters",-118.350883178513,44.3849603295842,TRUE
"1150",11,0.39,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.349171002,44.3942317444,1573.7,"meters",-118.349171001728,44.3942317444459,TRUE
"1151",11,0.4,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.347458098,44.4035032932,1422.2,"meters",-118.347458097607,44.4035032932085,TRUE
"1152",11,0.41,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.345744458,44.4127749755,1470.71,"meters",-118.34574445835,44.4127749754753,TRUE
"1153",11,0.42,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.344030086,44.4220467917,1690.96,"meters",-118.344030085529,44.4220467917295,TRUE
"1154",11,0.43,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.342314983,44.4313187427,1736.57,"meters",-118.3423149831,44.4313187426791,TRUE
"1155",11,0.44,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.34059915,44.4405908286,1709.96,"meters",-118.340599150321,44.4405908285907,TRUE
"1156",11,0.45,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.338882586,44.4498630497,1692.38,"meters",-118.338882586449,44.4498630497309,TRUE
"1157",11,0.46,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.337165291,44.4591354064,1792.25,"meters",-118.337165290737,44.4591354063665,TRUE
"1158",11,0.47,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.335447262,44.4684078988,1800.18,"meters",-118.335447262441,44.4684078987643,TRUE
"1159",11,0.48,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.333728501,44.4776805272,1805.35,"meters",-118.333728500814,44.4776805271914,TRUE
"1160",11,0.49,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.332009005,44.4869532919,1671.5,"meters",-118.332009005109,44.4869532919148,TRUE
"1161",11,0.5,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.330288775,44.4962261932,1624.71,"meters",-118.330288774579,44.4962261932016,TRUE
"1162",11,0.51,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.328567808,44.5054992313,1488.28,"meters",-118.328567808475,44.5054992313192,TRUE
"1163",11,0.52,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.326846106,44.5147724065,1519.47,"meters",-118.326846106048,44.514772406535,TRUE
"1164",11,0.53,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.325123667,44.5240457191,1434.2,"meters",-118.325123666547,44.5240457191164,TRUE
"1165",11,0.54,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.323400489,44.5333191693,1476.37,"meters",-118.323400489223,44.5333191693311,TRUE
